,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
484,Shoba Elite,"₹ 2,549","₹ 2,294",+₹ 275 taxes and charges,Standard Double Room,"2 beds (1 double, 1 futon)",7.5,Good ,43 reviews,,FREE cancellation • No prepayment needed
485,OYO 79879 Elite Stays JP Nagar,"₹ 1,679","₹ 1,091",+₹ 161 taxes and charges,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 16m²1 double bed,5.4,Review score ,55 reviews,,Free cancellation
486,The Lounge Business Hotel,,"₹ 1,279",+₹ 154 taxes and charges,Standard Double Room,1 double bed,7.6,Good ,46 reviews,,FREE cancellation • No prepayment needed
487,Evoma,,"₹ 3,500",+₹ 595 taxes and charges,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,8.1,Very good ,14 reviews,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
488,Collection O 88336 Manasa Residency,"₹ 2,966","₹ 1,483",+₹ 208 taxes and charges,Classic Triple Room,1 large double bed,1.0,Review score ,4 reviews,,FREE cancellation • No prepayment needed
489,Capital O 11148 Amethyst Business Hotel,"₹ 3,050","₹ 1,525",+₹ 213 taxes and charges,Classic Triple Room,1 large double bed,2.8,Review score ,4 reviews,,Free cancellation
490,OYO 10480 Hotel PMR,"₹ 3,371","₹ 1,686",+₹ 232 taxes and charges,Classic Triple Room,1 large double bed,5.5,Review score ,51 reviews,,Free cancellation
491,YN Hotels,"₹ 3,600","₹ 2,880",+₹ 346 taxes and charges,Deluxe Room,1 large double bed,6.9,Review score ,11 reviews,,Free cancellation
492,Professionals Pride PG,₹ 725,₹ 580,Includes taxes and charges,Economy Triple Room with Shared Bathroom,3 single beds,6.0,Review score ,53 reviews,Only 3 left at this price on our site,Free cancellation
493,OYO 74308 Kings Suites,"₹ 2,327","₹ 1,163",+₹ 170 taxes and charges,Classic Triple Room,1 large double bed,7.0,Good ,11 reviews,,Free cancellation
494,Single Serviced Room with Breakfast & Wi-Fi,,"₹ 1,450",+₹ 174 taxes and charges,Budget Double or Twin Room,1 double bed,7.4,Good ,14 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
495,"Regenta Place Bangalore, Cunningham Road","₹ 5,358","₹ 5,090",+₹ 611 taxes and charges,Standard Room with 15% Discount on Food & Beverages,Beds: 1 double or 2 singles,6.1,Review score ,160 reviews,,FREE cancellation • No prepayment needed
496,OYO 6790 Hotel subha Residency,"₹ 2,145","₹ 1,072",+₹ 159 taxes and charges,Triple Room with Bathroom,1 double bed,5.5,Review score ,26 reviews,,FREE cancellation • No prepayment needed
497,Greens Residency,₹ 836,₹ 669,Includes taxes and charges,Budget Double Room,1 double bed,6.2,Review score ,77 reviews,Only 5 rooms left at this price on our site,
498,OYO Flagship 29293 Athithi Comforts,"₹ 2,609","₹ 1,304",+₹ 187 taxes and charges,Standard Double Room,2 large double beds,4.1,Review score ,14 reviews,,Free cancellation
499,SPOT ON 41554 Hotel Sri Thirumala Paradise,"₹ 1,882",₹ 941,+₹ 30 taxes and charges,Standard Double Room with Fan,,4.9,Review score ,42 reviews,,Free cancellation
500,OYO 9605 Hotel Golden Inn,"₹ 2,627","₹ 1,313",+₹ 158 taxes and charges,Classic Triple Room,,4.7,Review score ,41 reviews,,
501,SPOT ON 80454 Janapriya Lodge,"₹ 1,588",₹ 794,+₹ 30 taxes and charges,Executive Triple Room,,3.6,Review score ,5 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
502,Hotel Champion Inn,,"₹ 1,200",+₹ 144 taxes and charges,Deluxe Room,1 double bed,6.7,Review score ,12 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
503,Treebo Trend Terminus Koramangala 5th Block,"₹ 4,867","₹ 2,433",+₹ 292 taxes and charges,[Sanitized] Standard Double Room,1 large double bed,7.9,Good ,107 reviews,,Free cancellation
504,SPOT ON 87435 Aasare Comforts,,"₹ 2,277",+₹ 303 taxes and charges,Classic Triple Room,1 large double bed,1.0,Review score ,1 review,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
505,OYO Flagship 81248 Blooms Residency,"₹ 2,500","₹ 1,250",+₹ 180 taxes and charges,Classic Triple Room,1 large double bed,7.0,Good ,27 reviews,,FREE cancellation • No prepayment needed
506,"The Den, Bengaluru",,"₹ 11,000","+₹ 1,980 taxes and charges",The Den Room,Beds: 1 double or 2 singles,8.9,Fabulous ,184 reviews,,Free cancellation
507,CAPITAL O 23461 Champion Lotus,"₹ 3,454","₹ 1,727",+₹ 237 taxes and charges,Classic Triple Room,1 large double bed,5.8,Review score ,12 reviews,,Free cancellation
508,Sri Sai Residency - 2BHK Condo with Free Parking On Site,,"₹ 2,610",+₹ 313 taxes and charges,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 bathroom • 117m²2 double beds,8.0,Very good ,2 reviews,,FREE cancellation • No prepayment needed
509,OYO 46067 Sree Lakshmi Residency,"₹ 2,345","₹ 1,172",+₹ 186 taxes and charges,Small Double Room,1 large double bed,3.0,Review score ,7 reviews,,Free cancellation
510,Nachis BNB,,"₹ 1,529",+₹ 183 taxes and charges,Deluxe Double Room with Balcony,Multiple bed types,7.0,Good ,114 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
511,Treebo Trend Hotel Sahara Suites Madiwala,"₹ 5,309","₹ 2,655",+₹ 319 taxes and charges,[Sanitized] Standard Double Room,1 extra-large double bed,8.0,Very good ,102 reviews,,Free cancellation
512,"Keys Select by Lemon Tree Hotels, Hosur Road, Bengaluru","₹ 5,599","₹ 5,039",+₹ 605 taxes and charges,Keys Double Room,1 double bed,6.9,Review score ,115 reviews,,FREE cancellation • No prepayment needed
513,Capital O 88646 Sri Sapthagiri Comforts,"₹ 2,655","₹ 1,328",+₹ 204 taxes and charges,Classic Triple Room,1 large double bed,4.0,Review score ,2 reviews,,FREE cancellation • No prepayment needed
514,Dunsvirk Inn- Bengaluru,"₹ 5,945","₹ 4,756",+₹ 571 taxes and charges,Deluxe ,1 extra-large double bed,3.3,Review score ,4 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
515,Mistyblue Stays,"₹ 5,700","₹ 5,415",+₹ 650 taxes and charges,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 102m²2 large double beds,8.5,Very good ,17 reviews,Only 4 left at this price on our site,FREE cancellation • No prepayment needed
516,Treebo Trip Shree Comforts HSR Layout,"₹ 3,106","₹ 1,553",+₹ 186 taxes and charges,[Sanitized] Standard Double Room,1 extra-large double bed,6.3,Review score ,39 reviews,,Free cancellation
517,Hotel The Prince Royal,,"₹ 2,699",+₹ 324 taxes and charges,Standard Double or Twin Room,Multiple bed types,5.7,Review score ,6 reviews,,Free cancellation
518,Treebo Trend Hotel Three Drops,"₹ 3,059","₹ 1,529",+₹ 214 taxes and charges,Standard Double Room,1 extra-large double bed,8.3,Very good ,9 reviews,,Free cancellation
519,Treebo Trend Fortune Stay Indiranagar,"₹ 5,760","₹ 2,880",+₹ 346 taxes and charges,Standard Double Room,1 large double bed,8.0,Very good ,53 reviews,Only 4 rooms left at this price on our site,Free cancellation
520,SPOT ON 80165 S3 Comforts,"₹ 1,534",₹ 997,+₹ 30 taxes and charges,Standard Double Room with Fan,1 large double bed,4.7,Review score ,3 reviews,,Free cancellation
