,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
585,OYO Townhouse 049 HSR Layout,"₹ 6,389","₹ 3,195",+₹ 413 taxes and charges,Classic Triple Room,1 large double bed,4.8,Review score ,23 reviews,,Free cancellation
586,Sampada Homestay,,"₹ 3,600",+₹ 432 taxes and charges,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 93m²6 beds (4 sofa beds, 2 large doubles)",8.2,Very good ,22 reviews,Only 4 left at this price on our site,
587,OYO 37297 N R Deluxe,"₹ 2,039","₹ 1,325",+₹ 189 taxes and charges,Classic Triple Room,1 large double bed,5.0,Review score ,3 reviews,,Free cancellation
588,OYO 69986 Pnk Royals,"₹ 2,137","₹ 1,389",+₹ 197 taxes and charges,Classic Triple Room,1 large double bed,,,,,Free cancellation
589,OYO Flagship 83187 Shiv Enclave,"₹ 2,014","₹ 1,309",+₹ 187 taxes and charges,Classic Triple Room,2 extra-large double beds,3.3,Review score ,3 reviews,,FREE cancellation • No prepayment needed
590,Hotel RK Gardenia,,"₹ 2,940",+₹ 353 taxes and charges,Deluxe Room,1 double bed,7.3,Good ,10 reviews,,FREE cancellation • No prepayment needed
591,OYO Flagship 77157 Puttana Chetty Townhall,"₹ 2,234","₹ 1,117",+₹ 164 taxes and charges,Small Double Room,1 large double bed,3.4,Review score ,5 reviews,Only 2 rooms left at this price on our site,Free cancellation
592,Ixora Suites,,"₹ 4,800",+₹ 576 taxes and charges,Deluxe Studio,"Entire studio • 1 bathroom • 33m²2 beds (1 large double, 1 futon)",7.5,Good ,30 reviews,Only 1 left at this price on our site,Free cancellation
593,Vennela Hotel Apartments,,"₹ 2,600",+₹ 312 taxes and charges,Deluxe Double Room,1 single bed,9.6,Exceptional ,5 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
594,FabHotel Purple Suites Inn,"₹ 2,709","₹ 1,463",+₹ 206 taxes and charges,Deluxe Room,1 double bed,6.3,Review score ,16 reviews,Only 2 rooms left at this price on our site,Free cancellation
595,Whitefield Service Apartment,,"₹ 2,249",+₹ 270 taxes and charges,Executive Double Room,1 double bed,2.8,Review score ,3 reviews,Only 1 room left at this price on our site,
596,Castle JP Service Apartments,,"₹ 4,399",+₹ 528 taxes and charges,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 2 living rooms • 2 bathrooms • 1 kitchen • 102m²4 beds (2 doubles, 2 sofa beds)",9.6,Exceptional ,72 reviews,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
597,Treebo Trip Galaxy Suites Hebbal,"₹ 3,533","₹ 1,766",+₹ 212 taxes and charges,Standard Double Room,1 large double bed,7.7,Good ,26 reviews,,Free cancellation
598,Confido Suites,,"₹ 1,799",+₹ 216 taxes and charges,Deluxe Double or Twin Room,"3 beds (2 singles, 1 large double)",2.0,Review score ,2 reviews,,FREE cancellation • No prepayment needed
599,Capital O 80212 Rams 4 Seasons Boutique Hotel,"₹ 2,551","₹ 1,658",+₹ 229 taxes and charges,Standard Double Room,1 extra-large double bed,4.5,Review score ,22 reviews,,
600,Shoba Enclave-Kammanahalli,,"₹ 1,749",+₹ 210 taxes and charges,Standard Double or Twin Room,Beds: 1 double or 2 singles,6.5,Review score ,45 reviews,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
601,The Hub Heaven Suites,,"₹ 3,200",+₹ 384 taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 20m²2 beds (1 double, 1 sofa bed)",,,,,FREE cancellation • No prepayment needed
602,OYO Flagship 77190 Hotel Nash Inn,"₹ 1,951","₹ 1,268",+₹ 152 taxes and charges,Classic Triple Room,1 large double bed,4.8,Review score ,4 reviews,,FREE cancellation • No prepayment needed
603,OYO 69014 The New Golden Keys,"₹ 2,302","₹ 1,151",+₹ 168 taxes and charges,Standard Double Room,1 extra-large double bed,4.2,Review score ,5 reviews,,Free cancellation
604,OYO Flagship 14397 Varcity Phi Pavilion,"₹ 2,611","₹ 1,305",+₹ 202 taxes and charges,Standard Double Room,1 extra-large double bed,5.2,Review score ,18 reviews,,Free cancellation
605,NestHotels Kormangala by Urban,,"₹ 2,500",+₹ 300 taxes and charges,Deluxe Room,1 large double bed,,,,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
606,Green Estate by MalnadStays,,"₹ 6,600",+₹ 792 taxes and charges,Deluxe Room,2 single beds,,,,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
607,Hotel UR Comforts Jayanagar,,"₹ 2,800",+₹ 336 taxes and charges,Deluxe Room,1 extra-large double bed,6.9,Review score ,37 reviews,,FREE cancellation • No prepayment needed
608,OYO 78567 Collection O Liva Residency- HRBR,"₹ 3,630","₹ 1,815",+₹ 263 taxes and charges,Classic Triple Room,1 extra-large double bed,2.0,Review score ,2 reviews,,FREE cancellation • No prepayment needed
609,OYO 10293 Rajmahal Comforts,"₹ 1,566","₹ 1,018",+₹ 152 taxes and charges,Classic Triple Room,3 double beds,1.3,Review score ,4 reviews,,Free cancellation
610,Elys'ees Serviced Suites,,"₹ 2,475",+₹ 297 taxes and charges,Deluxe Studio,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 40m²2 beds (1 sofa bed, 1 large double)",9.0,Superb ,4 reviews,,FREE cancellation • No prepayment needed
611,OYO 852 Kings 10,"₹ 5,296","₹ 2,648",+₹ 348 taxes and charges,Classic Triple Room,3 double beds,3.4,Review score ,6 reviews,,Free cancellation
612,Farm stay place with pool,,"₹ 6,048",+₹ 726 taxes and charges,Four-Bedroom House,"Entire holiday home • 4 bedrooms • 4 bathrooms • 30m²6 beds (2 singles, 1 double, 3 large doubles)",,,,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
613,Collection O 30067 Hotel Palmtree,"₹ 3,227","₹ 2,098",+₹ 282 taxes and charges,Classic Triple Room,1 large double bed,6.1,Review score ,33 reviews,,Free cancellation
614,Hotel Sanman Gardenia,,"₹ 4,000",+₹ 480 taxes and charges,Deluxe Studio,Private studio • 1 bathroom • 23m²1 single bed,6.3,Review score ,18 reviews,Only 5 left at this price on our site,FREE cancellation • No prepayment needed
615,Our Native Village,"₹ 9,000","₹ 6,750",+₹ 810 taxes and charges,Deluxe Room,1 double bed,7.4,Good ,50 reviews,,
616,Ring View Hotels - Hebbal,,"₹ 2,599",+₹ 468 taxes and charges,Standard Double Room,Beds: 1 double or 2 singles,8.1,Very good ,75 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
617,Stayhome Classic,"₹ 3,194","₹ 1,437",+₹ 172 taxes and charges,Standard Studio,Private studio • 1 bathroom • 1 kitchen • 10m²1 large double bed,8.6,Fabulous ,32 reviews,,
618,Euphoria Farms,,"₹ 2,700",+₹ 324 taxes and charges,Double Room with Garden View,1 large double bed,7.0,Good ,1 review,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
619,De Venetian by TGI,,"₹ 5,500",+₹ 660 taxes and charges,Superior Double Room,1 large double bed,7.8,Good ,22 reviews,,FREE cancellation • No prepayment needed
620,Parkwood Suites Kadubeesanahalli-Fully Vaccinated Staff,,"₹ 5,723",+₹ 687 taxes and charges,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,8.6,Fabulous ,19 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
621,Treebo Trip Omkar Inn,"₹ 3,162","₹ 1,581",+₹ 220 taxes and charges,Standard Double Room,1 extra-large double bed,7.2,Good ,13 reviews,,Free cancellation
622,OYO 78888 Elite Stays JP Nagar New,"₹ 1,651","₹ 1,073",+₹ 159 taxes and charges,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 16m²1 double bed,5.3,Review score ,17 reviews,,Free cancellation
623,CAPITAL O75993 Hotel Shanti Nivas,"₹ 2,498","₹ 1,249",+₹ 195 taxes and charges,Standard Double or Twin Room,1 double bed,2.5,Review score ,2 reviews,,Free cancellation
624,OYO 71863 The Red Velvet,"₹ 3,446","₹ 1,723",+₹ 237 taxes and charges,Classic Triple Room,1 large double bed,4.2,Review score ,12 reviews,,Free cancellation
625,OYO 71863 The Red Velvet,"₹ 3,446","₹ 1,723",+₹ 237 taxes and charges,Classic Triple Room,1 large double bed,4.2,Review score ,12 reviews,,Free cancellation
626,FabHotel Tej,"₹ 5,628","₹ 3,039",+₹ 365 taxes and charges,Deluxe Room,1 large double bed,6.5,Review score ,13 reviews,,Free cancellation
627,OYO Flagship 79509 Phoenix Residency,"₹ 3,141","₹ 1,571",+₹ 218 taxes and charges,Classic Triple Room,2 large double beds,5.7,Review score ,6 reviews,,FREE cancellation • No prepayment needed
628,Luciya The Boutique Hotel,,"₹ 2,600",+₹ 312 taxes and charges,Deluxe Double Room,1 extra-large double bed,10,Exceptional ,1 review,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
629,Soul Abode 2,,"₹ 5,000",+₹ 600 taxes and charges,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 2 bathrooms • 186m²2 large double beds,,,,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
630,FabHotel Champion Gateway,"₹ 4,015","₹ 2,168",+₹ 260 taxes and charges,Deluxe Room,1 double bed,7.7,Good ,16 reviews,,Free cancellation
631,FabHotel Oakwey Inn Indiranagar,"₹ 3,750","₹ 2,025",+₹ 243 taxes and charges,[Sanitised]Deluxe Room,1 large double bed,8.0,Very good ,104 reviews,,Free cancellation
632,OYO 28067 Shree Comforts,"₹ 1,651","₹ 1,073",+₹ 159 taxes and charges,Small Double Room,1 large double bed,4.7,Review score ,18 reviews,Only 1 room left at this price on our site,Free cancellation
633,Treebo Trend Primeland Suits Global Village,"₹ 4,568","₹ 2,284",+₹ 274 taxes and charges,Standard Double Room,1 extra-large double bed,6.9,Review score ,38 reviews,,Free cancellation
634,S S Residency Sr Nagar kanteerava stadium mallya hospital vfs global tech park Bangalore,,₹ 950,Includes taxes and charges,Deluxe Double Room,2 single beds,5.3,Review score ,24 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
635,OYO Townhouse 238 Ulssor,"₹ 4,796","₹ 2,398",+₹ 348 taxes and charges,Standard Double Room,1 large double bed,6.6,Review score ,25 reviews,,FREE cancellation • No prepayment needed
636,OYO Flagship 13933 Varcity Pearl,"₹ 2,921","₹ 1,461",+₹ 220 taxes and charges,Standard Double Room,1 extra-large double bed,2.0,Review score ,4 reviews,,Free cancellation
637,OYO Flagship 18372 Splenor Inn,"₹ 2,818","₹ 1,409",+₹ 199 taxes and charges,Standard Double Room,1 large double bed,5.6,Review score ,37 reviews,,Free cancellation
638,My home paying guest,,"₹ 1,400",+₹ 268 taxes and charges,Small Double Room,"3 beds (1 single, 2 doubles)",8.8,Fabulous ,6 reviews,Only 2 rooms left at this price on our site,Free cancellation
639,Ginger Bangalore- Inner Ring Road,,"₹ 4,079",+₹ 489 taxes and charges,Day use Room - Same day check in and check out - 9 am to 5 pm,1 double bed,5.1,Review score ,20 reviews,,FREE cancellation • No prepayment needed
640,Collection O 81399 Hotel Ur Comforts Jayanagar,"₹ 3,479","₹ 1,739",+₹ 254 taxes and charges,Standard Double Room,1 large double bed,6.7,Review score ,20 reviews,,FREE cancellation • No prepayment needed
641,Gateway Suites,"₹ 3,444","₹ 1,722",+₹ 207 taxes and charges,Standard Double Room,1 large double bed,8.0,Very good ,20 reviews,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
642,FabHotel Service Inn Manyata,"₹ 6,250","₹ 3,375",+₹ 405 taxes and charges,Superior Double Room,1 large double bed,9.1,Superb ,12 reviews,Only 1 room left at this price on our site,Free cancellation
643,OYO 76571 King's Residency,"₹ 2,375","₹ 1,188",+₹ 172 taxes and charges,Classic Triple Room,1 large double bed,6.0,Review score ,3 reviews,,Free cancellation
644,OYO Flagship 76791 Hotel Malnad Grand Inn,"₹ 1,998",₹ 999,+₹ 30 taxes and charges,Double Room,1 single bed,2.3,Review score ,8 reviews,Only 2 rooms left at this price on our site,Free cancellation
645,Collection O 12684 Compact Green View,"₹ 4,148","₹ 2,074",+₹ 294 taxes and charges,Classic Triple Room,1 large double bed,7.3,Good ,21 reviews,,Free cancellation
646,OYO 9252 SLN Homes,"₹ 2,448","₹ 1,591",+₹ 221 taxes and charges,Classic Triple Room,1 large double bed,5.7,Review score ,34 reviews,,Free cancellation
647,OYO 78407 Collection O S Comfort,"₹ 3,825","₹ 2,486",+₹ 328 taxes and charges,Classic Triple Room,1 large double bed,2.7,Review score ,3 reviews,,FREE cancellation • No prepayment needed
648,Treebo Trend Saga Comforts Rajajinagar,"₹ 5,400","₹ 2,700",+₹ 324 taxes and charges,[Sanitized] Standard Double Room,1 large double bed,6.4,Review score ,105 reviews,,Free cancellation
649,Elephant Stays Marthahalli - Fully Vaccinated Staff,,"₹ 3,050",+₹ 366 taxes and charges,Standard Double Room,Beds: 1 double or 2 singles,7.0,Good ,63 reviews,,Free cancellation
650,S S Residency Sr Nagar kanteerava stadium mallya hospital vfs global tech park Bangalore,,₹ 950,Includes taxes and charges,Deluxe Double Room,2 single beds,5.3,Review score ,24 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
651,OYO Flagship 13933 Varcity Pearl,"₹ 2,921","₹ 1,461",+₹ 220 taxes and charges,Standard Double Room,1 extra-large double bed,2.0,Review score ,4 reviews,,Free cancellation
652,OYO Flagship 8252 Aayush Corporate Stays,"₹ 3,104","₹ 1,552",+₹ 216 taxes and charges,Classic Triple Room,2 large double beds,4.5,Review score ,9 reviews,,Free cancellation
653,My home paying guest,,"₹ 1,400",+₹ 268 taxes and charges,Small Double Room,"3 beds (1 single, 2 doubles)",8.8,Fabulous ,6 reviews,Only 2 rooms left at this price on our site,Free cancellation
654,Collection O 81399 Hotel Ur Comforts Jayanagar,"₹ 3,479","₹ 1,739",+₹ 254 taxes and charges,Standard Double Room,1 large double bed,6.7,Review score ,20 reviews,,FREE cancellation • No prepayment needed
655,Gateway Suites,"₹ 3,444","₹ 1,722",+₹ 207 taxes and charges,Standard Double Room,1 large double bed,8.0,Very good ,20 reviews,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
656,OYO 76571 King's Residency,"₹ 2,375","₹ 1,188",+₹ 172 taxes and charges,Classic Triple Room,1 large double bed,6.0,Review score ,3 reviews,,Free cancellation
657,OYO Flagship 76791 Hotel Malnad Grand Inn,"₹ 1,998",₹ 999,+₹ 30 taxes and charges,Double Room,1 single bed,2.3,Review score ,8 reviews,Only 2 rooms left at this price on our site,Free cancellation
658,OYO 9252 SLN Homes,"₹ 2,448","₹ 1,591",+₹ 221 taxes and charges,Classic Triple Room,1 large double bed,5.7,Review score ,34 reviews,,Free cancellation
659,OYO 78407 Collection O S Comfort,"₹ 3,825","₹ 2,486",+₹ 328 taxes and charges,Classic Triple Room,1 large double bed,2.7,Review score ,3 reviews,,FREE cancellation • No prepayment needed
660,Treebo Trend Saga Comforts Rajajinagar,"₹ 5,400","₹ 2,700",+₹ 324 taxes and charges,[Sanitized] Standard Double Room,1 large double bed,6.4,Review score ,105 reviews,,Free cancellation
661,Elephant Stays Marthahalli - Fully Vaccinated Staff,,"₹ 3,050",+₹ 366 taxes and charges,Standard Double Room,Beds: 1 double or 2 singles,7.0,Good ,63 reviews,,Free cancellation
662,OYO 81272 Avion Inn,"₹ 2,938","₹ 1,469",+₹ 206 taxes and charges,Standard Double Room,1 large double bed,5.0,Review score ,1 review,,FREE cancellation • No prepayment needed
663,Airport Residency,,"₹ 3,000",+₹ 360 taxes and charges,Budget Double Room,5 double beds,5.3,Review score ,22 reviews,,FREE cancellation • No prepayment needed
664,Capital O 61292 Manyata Sterling,"₹ 2,375","₹ 1,188",+₹ 172 taxes and charges,Deluxe Double Room,1 large double bed,6.0,Review score ,42 reviews,,Free cancellation
665,OYO 75843 SM Residency,"₹ 2,357","₹ 1,532",+₹ 214 taxes and charges,Deluxe Triple Room,1 large double bed,5.9,Review score ,7 reviews,,Free cancellation
666,Surya Nilaya,,"₹ 1,710",+₹ 205 taxes and charges,Three-Bedroom House,"Entire holiday home • 3 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 232m²4 beds (2 singles, 1 double, 1 large double)",10,Exceptional ,1 review,,
667,Sai Shreyas Residency,,"₹ 1,170",+₹ 140 taxes and charges,Deluxe Double Room,Multiple bed types,8.3,Very good ,4 reviews,Only 7 rooms left at this price on our site,
668,SPOT ON 65593 Yatra Inn,"₹ 1,842",₹ 921,+₹ 30 taxes and charges,Triple Room with Bathroom,1 large double bed,5.9,Review score ,26 reviews,,Free cancellation
669,Sai sadan,,"₹ 1,700",+₹ 204 taxes and charges,One-Bedroom Apartment,Entire apartment • 1 bedroom • 2 bathrooms1 double bed,1.0,Review score ,1 review,,FREE cancellation • No prepayment needed
670,Misty Meridian Serviced Apartments,,"₹ 4,275",+₹ 513 taxes and charges,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 93m²3 beds (1 sofa bed, 2 large doubles)",8.5,Very good ,157 reviews,,FREE cancellation • No prepayment needed
671,Veekay Residency,,₹ 999,Includes taxes and charges,Deluxe Double Room,1 extra-large double bed,5.9,Review score ,13 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
672,OYO 80679 Wonder Inn,"₹ 2,223","₹ 1,445",+₹ 173 taxes and charges,Classic Triple Room,1 large double bed,5.5,Review score ,2 reviews,,Free cancellation
673,Modern Hotel,,"₹ 1,320",+₹ 158 taxes and charges,Deluxe Double Room,1 large double bed,7.1,Good ,10 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
674,"its a lovely 3 bhk with 3 bathrooms & kitchen but only 1 room is available, so book only if you are an individual","₹ 5,175","₹ 5,123",+₹ 615 taxes and charges,One-Bedroom Apartment,Entire apartment • 1 bedroom • 3 bathrooms1 double bed,,,,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
675,FabHotel Krishnas Landmark,"₹ 2,916","₹ 1,575",+₹ 189 taxes and charges,Deluxe Room,1 double bed,6.9,Review score ,7 reviews,,Free cancellation
676,"its a lovely 3 bhk with 3 bathrooms & kitchen but only 1 room is available, so book only if you are an individual","₹ 5,175","₹ 5,123",+₹ 615 taxes and charges,One-Bedroom Apartment,Entire apartment • 1 bedroom • 3 bathrooms1 double bed,,,,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
677,OYO 24259 Hotel Blue Inn,"₹ 2,661","₹ 1,330",+₹ 190 taxes and charges,Classic Triple Room,1 large double bed,4.2,Review score ,14 reviews,,Free cancellation
678,GTS SUITES,,"₹ 1,350",+₹ 243 taxes and charges,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 37m²1 extra-large double bed,7.5,Good ,54 reviews,Only 1 left at this price on our site,Free cancellation
679,OYO 79377 Mmr Hotel,"₹ 1,538","₹ 1,000",+₹ 30 taxes and charges,Classic Triple Room,1 large double bed,3.0,Review score ,3 reviews,,FREE cancellation • No prepayment needed
680,Nahar Heritage Hotel,,"₹ 3,550",+₹ 426 taxes and charges,Superior Double or Twin Room,"3 beds (2 singles, 1 double)",4.8,Review score ,9 reviews,,FREE cancellation • No prepayment needed
681,La Sara Gateway,,"₹ 2,500",+₹ 300 taxes and charges,Double or Twin Room,"3 beds (2 singles, 1 double)",,,,,FREE cancellation • No prepayment needed
682,OYO 15358 Hotel Townhall,"₹ 2,145","₹ 1,072",+₹ 159 taxes and charges,Classic Triple Room,1 large double bed,2.6,Review score ,8 reviews,,Free cancellation
683,Capital O 65381 Sln Residency,"₹ 2,761","₹ 1,380",+₹ 211 taxes and charges,Classic Triple Room,1 large double bed,4.5,Review score ,11 reviews,,Free cancellation
684,"Royal Orchid Central, Bangalore","₹ 7,921","₹ 7,525","+₹ 1,354 taxes and charges",Standard Room with 15% Discount on Food & Beverages,1 double bed,6.6,Review score ,434 reviews,,FREE cancellation • No prepayment needed
685,Oakhaven service Apartments Premium 3bhk,,"₹ 6,000",+₹ 720 taxes and charges,Apartment with Balcony,"Private apartment • 3 bedrooms • 1 living room • 3 bathrooms • 14m²4 beds (2 singles, 2 large doubles)",9.7,Exceptional ,4 reviews,Only 2 left at this price on our site,FREE cancellation • No prepayment needed
686,Golden Metro Hotel,,"₹ 4,800",+₹ 576 taxes and charges,Standard Double Room,Beds: 1 double or 2 singles,5.9,Review score ,17 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
687,Orange Corner Bangalore Airport,,"₹ 1,260",+₹ 151 taxes and charges,Standard Double Room with Fan,1 large double bed,7.8,Good ,5 reviews,Only 6 rooms left at this price on our site,
688,Lords Eco Inn Bengaluru Jayanagar,,"₹ 3,000",+₹ 360 taxes and charges,Standard Twin Room,2 single beds,7.2,Good ,13 reviews,Only 4 rooms left at this price on our site,Free cancellation
689,Jagadish Hotel Begur,"₹ 2,075","₹ 1,639",+₹ 197 taxes and charges,Deluxe ,1 double bed,,,,,FREE cancellation • No prepayment needed
690,Aihikah Farm stays,"₹ 5,400","₹ 4,860","+₹ 1,183 taxes and charges",Two-Bedroom House,"Entire holiday home • 2 bedrooms • 2 bathrooms • 1 kitchen • 1,000m²8 beds (4 singles, 1 double, 1 extra-large double, 2 large doubles)",,,,,FREE cancellation • No prepayment needed
691,"Daffodil Suites, Manyata Tech Park",,"₹ 1,799",+₹ 216 taxes and charges,Standard Queen Room,"3 beds (2 singles, 1 large double)",5.8,Review score ,5 reviews,,
692,OYO 9253 Champion Comfort,"₹ 2,236","₹ 1,118",+₹ 164 taxes and charges,Classic Triple Room,1 extra-large double bed,7.2,Good ,24 reviews,,Free cancellation
693,Hotel Urban Jade,,"₹ 3,774",+₹ 453 taxes and charges,Deluxe Twin Room,1 single bed,5.4,Review score ,19 reviews,,Free cancellation
694,Hilton Bengaluru Embassy Manyata Business Park,,"₹ 10,620","+₹ 1,912 taxes and charges",Deluxe King Room,1 extra-large double bed,8.0,Very good ,1 review,,
695,Capital O 5381 The Emirates Hotel,"₹ 3,104","₹ 1,552",+₹ 231 taxes and charges,Deluxe Double Room,1 large double bed,3.5,Review score ,17 reviews,,Free cancellation
696,TGI Felicity,"₹ 5,850","₹ 2,633",+₹ 316 taxes and charges,Superior Double or Twin Room,1 double bed,,,,,FREE cancellation • No prepayment needed
697,FabHotel Suvee Boutique Banashankari,"₹ 7,291","₹ 3,937",+₹ 472 taxes and charges,Superior Double Room,1 large double bed,7.8,Good ,18 reviews,,Free cancellation
698,Zipro Stay Classy Hotel Near HSR Layout,₹ 799,₹ 599,Includes taxes and charges,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 19m²1 double bed,3.0,Review score ,2 reviews,,Free cancellation
699,Treebo Trend Savoury Sea Shell Residency Bannerghatta,"₹ 3,818","₹ 1,909",+₹ 229 taxes and charges,Standard Double Room,1 large double bed,6.5,Review score ,40 reviews,,Free cancellation
700,Collection O Sukhi Palace,"₹ 2,419","₹ 1,572",+₹ 219 taxes and charges,Standard Double Room,1 extra-large double bed,1.0,Review score ,3 reviews,,FREE cancellation • No prepayment needed
701,Nandu Hospitality - Aashiyana,,"₹ 1,850",+₹ 222 taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 65m²2 beds (1 sofa bed, 1 large double)",7.4,Good ,9 reviews,Only 2 left at this price on our site,FREE cancellation • No prepayment needed
702,Sampada Homestay,,"₹ 3,600",+₹ 432 taxes and charges,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 93m²6 beds (4 sofa beds, 2 large doubles)",8.2,Very good ,22 reviews,Only 4 left at this price on our site,
703,OYO 8737 King Suites,"₹ 2,465","₹ 1,602",+₹ 222 taxes and charges,Classic Triple Room,1 extra-large double bed,5.5,Review score ,2 reviews,,FREE cancellation • No prepayment needed
704,Jagadish Brigade Hotel,"₹ 3,330","₹ 2,631",+₹ 316 taxes and charges,Superior,1 single bed,7.0,Good ,1 review,,FREE cancellation • No prepayment needed
705,Octave Vels Grand Hotel,,"₹ 1,300",+₹ 156 taxes and charges,Deluxe Double Room,1 large double bed,10,Exceptional ,1 review,,FREE cancellation • No prepayment needed
706,MG ROAD ONE,"₹ 2,925","₹ 2,340",+₹ 281 taxes and charges,Deluxe Double or Twin Room,1 double bed,7.0,Good ,1 review,,Free cancellation
707,OYO 15392 Sri Sai Guru Comforts,"₹ 1,639","₹ 1,065",+₹ 158 taxes and charges,Standard Double Room,2 large double beds,6.8,Review score ,18 reviews,,Free cancellation
708,Avi Fortune Suites - Near Bangalore International Airport,,"₹ 2,500",+₹ 300 taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 31m²2 beds (1 sofa bed, 1 large double)",7.6,Good ,16 reviews,,FREE cancellation • No prepayment needed
709,OYO Flagship 80044 Royal Wood Deluxe,"₹ 2,900","₹ 1,450",+₹ 204 taxes and charges,Classic Triple Room,2 large double beds,6.0,Review score ,6 reviews,,FREE cancellation • No prepayment needed
710,OYO 35680 Sri Sai Residency,"₹ 2,536","₹ 1,268",+₹ 197 taxes and charges,Classic Triple Room,1 large double bed,4.3,Review score ,3 reviews,,FREE cancellation • No prepayment needed
711,Vaccinated Staff - OYO TOWNHOUSE 077 HOTEL ROOM Stories,"₹ 3,693","₹ 1,846",+₹ 252 taxes and charges,Budget Double Room,1 large double bed,3.5,Review score ,10 reviews,,Free cancellation
712,Hotel Pulikeshi,"₹ 2,999","₹ 1,739",+₹ 209 taxes and charges,Double Room,1 large double bed,6.0,Review score ,3 reviews,,FREE cancellation • No prepayment needed
713,Collection O 30004 Malleswaram,"₹ 4,888","₹ 2,444",+₹ 323 taxes and charges,Classic Triple Room,2 single beds,5.8,Review score ,16 reviews,,Free cancellation
714,The Paul Bangalore,,"₹ 21,110","+₹ 3,800 taxes and charges",Executive Suite - Two Bedrooms Suite with Kitchen,"Private suite • 2 bedrooms • 1 living room • 2 bathrooms • 74m²2 beds (1 double, 1 large double)",9.0,Superb ,79 reviews,Only 2 left at this price on our site,
715,VEERDENCY LUXURY RESORT,,"₹ 3,999",+₹ 480 taxes and charges,Deluxe Queen Room,1 double bed,6.2,Review score ,6 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
716,OYO 63711 Chetana Clove,"₹ 3,363","₹ 1,681",+₹ 247 taxes and charges,Standard Double Room,1 large double bed,6.0,Review score ,9 reviews,,Free cancellation
717,OYO 87278 Royal Grand Residency,"₹ 2,380","₹ 1,190",+₹ 173 taxes and charges,Standard Double Room,1 large double bed,1.0,Review score ,3 reviews,,FREE cancellation • No prepayment needed
718,OYO 9251 NAR Comforts,"₹ 2,986","₹ 1,493",+₹ 209 taxes and charges,Classic Triple Room,1 large double bed,5.3,Review score ,7 reviews,,Free cancellation
719,OYO 78266 Collection O Sathyajyothi Comforts,"₹ 3,409","₹ 1,704",+₹ 250 taxes and charges,Classic Triple Room,1 large double bed,6.6,Review score ,16 reviews,,FREE cancellation • No prepayment needed
720,OYO 79571 Hotel Golden Paradise,"₹ 2,621","₹ 1,311",+₹ 187 taxes and charges,Deluxe Double Room,1 large double bed,8.5,Very good ,2 reviews,,FREE cancellation • No prepayment needed
721,PRANAM COMFORTS LODGE,,₹ 995,Includes taxes and charges,Standard Double Room with Fan - Indian nationals only ,2 single beds,6.0,Review score ,7 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
