,Unnamed: 0,Unnamed: 0.1,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
122,122,122,ibis Bengaluru City Centre - An Accor Brand,0,4505, 541 ,Standard Queen Room,1 large double bed,7.6,Good ,1443,No Rooms left,FREE cancellation • No prepayment needed
123,123,123,BloomSuites I Electronics City,0,3960, 475 ,Deluxe Double Room,1 extra-large double bed,7.2,Good ,167,Only 4 rooms left ,
124,124,124,OYO 81833 Hotel Red Rose,2186,1421, 215 ,Classic Triple Room,2 extra-large double beds,6.2,Plesant ,55,No Rooms left,FREE cancellation • No prepayment needed
125,125,125,OYO Homes 78310 Crystal Inn,1024,666, 45 ,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 16m²1 double bed,6.3,Plesant ,27,No Rooms left,Free cancellation
126,126,126,Grand Mercure Bengaluru at Gopalan Mall - An Accor Brand,0,7650, 1377 ,Deluxe Double or Twin Room, 1 double or 2 singles,8.7,Fabulous ,505,Only 7 rooms left ,FREE cancellation • No prepayment needed
127,127,127,Hotel Panchvati Comforts,3500,2100, 252 ,Deluxe Room,1 large double bed,10.0,Exceptional ,1,No Rooms left,
128,128,128,Hotel Bestend,0,999, 30 ,Standard Double Room with Fan,1 double bed,7.8,Good ,26,Only 1 room left ,FREE cancellation • No prepayment needed
129,129,129,Capital O 46423 Clove Boutique Hotel Rajaji Nagar,3466,1733, 238 ,Deluxe Double Room,1 extra-large double bed,6.1,Plesant ,10,No Rooms left,Free cancellation
130,130,130,SS CROWN inn,0,1440, 173 ,Deluxe Double Room,1 extra-large double bed,7.9,Good ,73,Only 2 rooms left ,FREE cancellation • No prepayment needed
131,131,131,OYO 15358 Hotel Townhall,1598,799, 30 ,Classic Triple Room,1 large double bed,3.3,Plesant ,9,No Rooms left,Free cancellation
132,132,132,ABM Boutique Hotel by Purple Cloud,0,2040, 245 ,Deluxe Room,1 double bed,6.8,Plesant ,16,No Rooms left,FREE cancellation • No prepayment needed
133,133,133,OYO 88840 Mn Residency,1502,751, 45 ,Standard Double Room,2 large double beds,1.0,Plesant ,2,No Rooms left,FREE cancellation • No prepayment needed
134,134,134,OYO 78921 VSV Avenue Hennur,733,462, 30 ,Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 19m²1 double bed,6.0,Plesant ,20,Only 2 left ,Free cancellation
135,135,135,Collection O 30004 Malleswaram,1610,1030, 154 ,Classic Triple Room,2 single beds,5.8,Plesant ,16,No Rooms left,Free cancellation
136,136,136,Tulip Inn Koramangala,0,5357, 643 ,Royal Suite,1 large double bed,7.5,Good ,42,Only 2 rooms left ,
137,137,137,Comfort Inn Insys,0,5146, 618 ,Premium Room,Multiple bed types,7.7,Good ,169,Only 5 rooms left ,
138,138,138,OYO 71863 The Red Velvet,1672,970, 30 ,Classic Triple Room,1 large double bed,4.2,Plesant ,12,Only 7 rooms left ,Free cancellation
139,139,139,Hypons Hotel,0,2250, 270 ,Executive Room,1 double bed,7.9,Good ,11,Only 5 rooms left ,Free cancellation
140,140,140,VAMA Retreats,0,4464, 536 ,Superior King Room,1 extra-large double bed,9.1,Superb ,60,Only 2 rooms left ,
141,141,141,Fairfield by Marriott Bengaluru Rajajinagar,0,5799, 696 ,Fairfield Deluxe Room ,1 extra-large double bed,7.3,Good ,421,Only 4 rooms left ,FREE cancellation • No prepayment needed
142,142,142,De Mandarin,0,4500, 540 ,Comfy Room,1 large double bed,7.4,Good ,72,Only 3 rooms left ,FREE cancellation • No prepayment needed
143,143,143,"Holiday Inn Express & Suites Bengaluru Old Madras Road, an IHG Hotel",0,4749, 570 ,Standard Room with Free Buffet Breakfast & 10% Disc on F&B,2 single beds,8.3,Very good ,471,No Rooms left,Free cancellation
144,144,144,OYO 78899 Exotic Stay BG Road,1172,762, 45 ,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 16m²1 double bed,5.5,Plesant ,18,No Rooms left,FREE cancellation • No prepayment needed
145,145,145,"Howard Johnson By Wyndham, Hebbal, Bengaluru",0,5700, 969 ,Deluxe Twin Room,1 double bed,7.3,Good ,467,No Rooms left,FREE cancellation • No prepayment needed
146,146,146,Hotel Ganga Sagar,1979,1187, 142 ,Deluxe Double Room,1 double bed,6.8,Plesant ,40,No Rooms left,FREE cancellation • No prepayment needed
147,147,147,Octave Kings Suites,0,1250, 150 ,Deluxe Double Room,1 single bed,4.7,Plesant ,14,No Rooms left,FREE cancellation • No prepayment needed
148,148,148,"ITC Windsor, a Luxury Collection Hotel, Bengaluru",0,10500, 1890 ,Executive Club Room,1 large double bed,8.2,Very good ,1318,Only 3 rooms left ,FREE cancellation • No prepayment needed
149,149,149,Collection O 82501 Blue Waters Lounge,1136,568, 30 ,Classic Triple Room,1 extra-large double bed,6.1,Plesant ,12,Only 6 rooms left ,FREE cancellation • No prepayment needed
150,150,150,"Howard Johnson By Wyndham, Hebbal, Bengaluru",0,5700, 969 ,Deluxe Twin Room,1 double bed,7.3,Good ,467,No Rooms left,FREE cancellation • No prepayment needed
151,151,151,FabExpress Ivory Pearl III,2291,1237, 178 ,Deluxe Room,1 large double bed,6.3,Plesant ,34,No Rooms left,Free cancellation
152,152,152,OYO 6790 Hotel subha Residency,1420,710, 30 ,Triple Room with Bathroom,1 double bed,5.6,Plesant ,27,No Rooms left,FREE cancellation • No prepayment needed
153,153,153,OYO 79879 Elite Stays JP Nagar,787,496, 30 ,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 16m²1 double bed,5.3,Plesant ,57,Only 1 left ,Free cancellation
