,Unnamed: 0,Unnamed: 0.1,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
246,246,246,Raj Residency,0,793,Includes ,Deluxe Double Room,1 double bed,6.4,Plesant ,14,Only 5 rooms left ,
247,247,247,bloomrooms @ City Centre,0,3400, 408 ,Standard Double Room,1 large double bed,8.4,Very good ,331,No Rooms left,FREE cancellation • No prepayment needed
248,248,248,Casa Cottage,5000,3750, 450 ,Deluxe Room, 1 double or 2 singles,8.3,Very good ,178,Only 1 room left ,
249,249,249,Vivanta Bengaluru Residency Road,0,10000, 1800 ,Deluxe Double Room,1 double bed,8.0,Very good ,689,Only 5 rooms left ,Free cancellation
250,250,250,Radisson Blu Bengaluru Outer Ring Road,0,8400, 1512 ,Superior Room, 1 double or 2 singles,7.9,Good ,719,No Rooms left,FREE cancellation • No prepayment needed
251,251,251,Hotel Embassy,0,990,Includes ,Double Room,1 large double bed,7.0,Good ,172,Only 7 rooms left ,FREE cancellation • No prepayment needed
252,252,252,Hotel Paramos Inn,0,2750, 330 ,Standard Double Room,1 double bed,7.9,Good ,41,Only 2 rooms left ,
253,253,253,JW Marriott Hotel Bengaluru,0,13350, 2403 ,Deluxe Room 2 Twin,1 extra-large double bed,8.1,Very good ,226,Only 5 rooms left ,FREE cancellation • No prepayment needed
254,254,254,"Country Inn & Suites By Radisson, Bengaluru Hebbal Road",0,6000, 720 ,Day Use Room  (Check in at 12 PM and Check out at 5 PM on the SAME Day),1 double bed,6.6,Plesant ,349,Only 4 rooms left ,Free cancellation
255,255,255,OYO 76521 Manan Paradise,1384,900, 30 ,Classic Triple Room,"3 beds (1 single, 1 double, 1 large double)",4.3,Plesant ,4,No Rooms left,Free cancellation
256,256,256,Lazdana Hotel Bangalore,0,4499, 540 ,Superior Double or Twin Room,"3 beds (2 singles, 1 extra-large double)",7.5,Good ,8,No Rooms left,FREE cancellation • No prepayment needed
257,257,257,Hotel Bangalore Gate,0,2450, 294 ,Executive Double or Twin Room, 1 double or 2 singles,8.0,Very good ,79,Only 3 rooms left ,Free cancellation
258,258,258,Hoppers Stop Yelahanka,1749,1574, 189 ,Deluxe Double Room,"2 beds (1 single, 1 extra-large double)",8.1,Very good ,33,Only 1 room left ,FREE cancellation • No prepayment needed
259,259,259,Hotel City Meridian,0,1080, 130 ,Queen Room,1 double bed,0.0,No Review,0,No Rooms left,
260,260,260,FabHotel Crown Suites,3648,1970, 236 ,Deluxe Room,1 large double bed,8.1,Very good ,170,Only 1 room left ,Free cancellation
261,261,261,FabHotel Krishna Boutique Marathahalli - Fully Vaccinated Staff,5209,2813, 338 ,Executive Triple Room,1 large double bed,6.9,Plesant ,106,No Rooms left,Free cancellation
262,262,262,De Venetian by TGI,0,3599, 432 ,Superior Double Room,1 large double bed,7.8,Good ,22,Only 7 rooms left ,
263,263,263,DoubleTree Suites by Hilton Bangalore,0,8088, 1933 ,King Bed Studio with Balcony,1 extra-large double bed,8.2,Very good ,809,No Rooms left,FREE cancellation • No prepayment needed
264,264,264,Hilton Bangalore Embassy GolfLinks,0,9500, 1710 ,"King Hilton Guestroom with Sofa cum Bed, Bathtub, 15% disc on F&B andSpa",1 extra-large double bed,8.5,Very good ,508,No Rooms left,FREE cancellation • No prepayment needed
265,265,265,SAS Apartment,0,1800, 216 ,Standard Double Room,1 single bed,8.1,Very good ,93,Only 3 rooms left ,
266,266,266,Raj Residency,0,2375, 285 ,Standard Double Room,2 single beds,7.6,Good ,155,Only 7 rooms left ,FREE cancellation • No prepayment needed
267,267,267,Sapphire stay,899,809,Includes ,Budget Double Room,1 double bed,6.9,Plesant ,173,Only 3 rooms left ,FREE cancellation • No prepayment needed
268,268,268,Hotel Empire Central Street,0,2500, 300 ,Standard Double Room,1 large double bed,7.5,Good ,83,Only 1 room left ,FREE cancellation • No prepayment needed
269,269,269,OYO Flagship 29620 New Champion Residency,1461,950, 30 ,Classic Triple Room,2 large double beds,5.1,Plesant ,15,No Rooms left,Free cancellation
270,270,270,OYO 78921 VSV Avenue Hennur,952,600, 30 ,Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 19m²1 double bed,6.0,Plesant ,20,Only 2 left ,Free cancellation
271,271,271,OYO 9419 Manu Residency,1204,711, 30 ,Standard Double Room,1 extra-large double bed,5.3,Plesant ,18,No Rooms left,Free cancellation
272,272,272,OYO 71574 Hotel Silver House,1230,800, 30 ,Classic Triple Room,1 large double bed,6.4,Plesant ,8,No Rooms left,FREE cancellation • No prepayment needed
273,273,273,Sai Hotel Rooms,0,900,Includes ,Standard Room,1 double bed,0.0,No Review,0,No Rooms left,FREE cancellation • No prepayment needed
274,274,274,FabHotel Hiland Suites,2966,1780, 244 ,Deluxe Room,1 large double bed,7.5,Good ,46,No Rooms left,Free cancellation
275,275,275,ABM Boutique Hotel by Purple Cloud,0,2040, 245 ,Deluxe Room,1 double bed,6.8,Plesant ,16,No Rooms left,FREE cancellation • No prepayment needed
276,276,276,Hotel surya dev residency,0,2450, 294 ,Superior Deluxe Double or Twin Room ,1 extra-large double bed,7.8,Good ,67,No Rooms left,
277,277,277,OYO 78921 VSV Avenue Hennur,733,462, 30 ,Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 19m²1 double bed,6.0,Plesant ,20,Only 2 left ,Free cancellation
278,278,278,FabExpress Oriental Suites BTM Layout,3438,1857, 223 ,[Sanitised]Deluxe Room,1 large double bed,7.5,Good ,204,No Rooms left,Free cancellation
279,279,279,juSTa Off MG Road,5699,5129, 615 ,Deluxe Room,1 extra-large double bed,7.4,Good ,53,Only 2 rooms left ,Free cancellation
280,280,280,Comfort Inn Insys,0,5146, 618 ,Premium Room,Multiple bed types,7.7,Good ,169,Only 5 rooms left ,
281,281,281,Collection O 12684 Compact Green View,2623,1312, 202 ,Classic Triple Room,1 large double bed,7.3,Good ,23,Only 4 rooms left ,Free cancellation
282,282,282,Hypons Hotel,0,2250, 270 ,Executive Room,1 double bed,7.9,Good ,11,Only 5 rooms left ,Free cancellation
283,283,283,SPOT ON 71449 Ssr Lodging And Boarding,1332,666, 30 ,Standard Double Room with Fan,1 large double bed,5.3,Plesant ,21,No Rooms left,Free cancellation
284,284,284,Davanam Sarovar Portico Suites,11000,9900, 1782 ,Deluxe Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 88m²3 beds (2 singles, 1 sofa bed)",8.3,Very good ,120,Only 3 left ,FREE cancellation • No prepayment needed
285,285,285,OYO 10480 Hotel PMR,1528,932, 30 ,Classic Triple Room,1 large double bed,5.4,Plesant ,52,No Rooms left,Free cancellation
286,286,286,VAMA Retreats,0,4464, 536 ,Superior King Room,1 extra-large double bed,9.1,Superb ,60,Only 2 rooms left ,
287,287,287,OYO 9253 Champion Comfort,2320,1160, 169 ,Classic Triple Room,1 extra-large double bed,7.2,Good ,25,No Rooms left,Free cancellation
288,288,288,FabHotel Shreyas Inn,4948,2672, 321 ,Superior Double Room,1 large double bed,5.8,Plesant ,40,No Rooms left,Free cancellation
289,289,289,Jagadish Hotels Sankey Road,5610,4600, 552 ,Deluxe Room,1 extra-large double bed,7.5,Good ,19,No Rooms left,Free cancellation
290,290,290,De Mandarin,0,4500, 540 ,Comfy Room,1 large double bed,7.4,Good ,72,Only 3 rooms left ,FREE cancellation • No prepayment needed
291,291,291,FabHotel Champion Gateway,3750,2025, 243 ,Deluxe Room,1 double bed,7.7,Good ,16,No Rooms left,Free cancellation
292,292,292,OYO 78899 Exotic Stay BG Road,1172,762, 45 ,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 16m²1 double bed,5.5,Plesant ,18,No Rooms left,FREE cancellation • No prepayment needed
293,293,293,Octave Kings Suites,0,1250, 150 ,Deluxe Double Room,1 single bed,4.7,Plesant ,14,No Rooms left,FREE cancellation • No prepayment needed
294,294,294,Treebo Tryst Raj Vista Global Village,5993,2996, 360 ,Standard Double Room,1 large double bed,9.1,Superb ,30,Only 3 rooms left ,Free cancellation
295,295,295,Le Foliage by TGI,0,7500, 900 ,Executive Double Room,1 single bed,6.6,Plesant ,17,No Rooms left,
296,296,296,Octave Kanthi Comforts,0,1225, 147 ,[Sanitized] Deluxe Double or Twin Room,1 large double bed,7.8,Good ,245,No Rooms left,FREE cancellation • No prepayment needed
297,297,297,Capital O 80212 Rams 4 Seasons Boutique Hotel,765,498, 30 ,Standard Double Room,1 extra-large double bed,4.4,Plesant ,23,No Rooms left,
298,298,298,OYO Flagship 77190 Hotel Nash Inn,947,616,Includes ,Classic Triple Room,1 large double bed,4.8,Plesant ,4,Only 4 rooms left ,FREE cancellation • No prepayment needed
299,299,299,Tulip Inn Koramangala,0,5357, 643 ,Royal Suite,1 large double bed,7.5,Good ,42,Only 2 rooms left ,
300,300,300,Octave Paris Residency,0,1150, 138 ,Standard Double or Twin Room,1 double bed,7.4,Good ,206,No Rooms left,FREE cancellation • No prepayment needed
301,301,301,Hotel Parkwood inn,0,809,Includes ,Standard Double Room,1 double bed,4.5,Plesant ,19,Only 4 rooms left ,FREE cancellation • No prepayment needed
302,302,302,Soundarya Hotel,1500,1350, 162 ,Standard Double or Twin Room,1 large double bed,8.7,Fabulous ,10,No Rooms left,FREE cancellation • No prepayment needed
303,303,303,La Sara Gateway,0,2800, 336 ,Superior Deluxe Double or Twin Room ,"3 beds (2 singles, 1 double)",10.0,Exceptional ,1,Only 2 rooms left ,
304,304,304,Hotel Ambient Turret,0,5600,Includes ,Superior Double Room,1 extra-large double bed,6.6,Plesant ,21,No Rooms left,FREE cancellation • No prepayment needed
305,305,305,Hotel GM Plaza,0,1680, 202 ,Superior Queen Room,1 large double bed,6.5,Plesant ,35,No Rooms left,Free cancellation
306,306,306,FabHotel Vista Suites Bangalore East Railway Station,4583,2246, 269 ,(Sanitised) Deluxe Room,1 double bed,8.4,Very good ,53,No Rooms left,Free cancellation
307,307,307,OYO 46067 Sree Lakshmi Residency,1272,636, 45 ,Small Double Room,1 large double bed,2.6,Plesant ,9,Only 5 rooms left ,Free cancellation
308,308,308,Shoba Residency-Kammanahalli,2100,1890, 227 ,Executive Double Room with Fan,"2 beds (1 large double, 1 futon)",7.1,Good ,28,Only 3 rooms left ,FREE cancellation • No prepayment needed
309,309,309,Alchemy Suits,3150,2205, 265 ,Deluxe Double Room,1 extra-large double bed,8.0,Very good ,17,Only 2 rooms left ,
310,310,310,Hotel Abooz,0,1900, 228 ,Standard Double or Twin Room,1 double bed,8.3,Very good ,6,Only 2 rooms left ,
311,311,311,FabHotel SRK Platinum Inn,3750,2025, 243 ,Deluxe Room,1 double bed,6.2,Plesant ,20,No Rooms left,Free cancellation
312,312,312,Treebo Trip Hotel BCP Suites,3068,1534, 214 ,Standard Double Room,1 extra-large double bed,7.9,Good ,59,No Rooms left,Free cancellation
313,313,313,Sapphire Inn,1140,912,Includes ,Deluxe Double Room,1 double bed,7.0,Good ,62,Only 2 rooms left ,
314,314,314,Palm Meadows Resort,0,8000, 1440 ,Superior Twin Room,"3 beds (2 singles, 1 futon)",8.0,Very good ,111,Only 1 room left ,
315,315,315,Navanidhi Comforts,0,1200, 144 ,Deluxe Double Room,1 double bed,6.8,Plesant ,20,Only 4 rooms left ,FREE cancellation • No prepayment needed
316,316,316,Hotel G Grand,0,1709, 205 ,Standard Double Room,1 double bed,0.0,No Review,0,Only 5 rooms left ,FREE cancellation • No prepayment needed
317,317,317,OYO 76339 Sai Orchid,1296,648, 30 ,Classic Triple Room,1 large double bed,6.0,Plesant ,3,No Rooms left,Free cancellation
318,318,318,OYO Townhouse 159 Sarjapur,2698,1754, 270 ,Classic Triple Room,1 large double bed,6.0,Plesant ,31,Only 4 rooms left ,Free cancellation
319,319,319,Olive Whitefield by Embassy Group,6949,4864, 584 ,Suite with City View,Private suite • 1 bedroom • 1 living room • 1 bathroom • 48m²1 extra-large double bed,6.7,Plesant ,63,No Rooms left,
320,320,320,Manpho Bell Hotel & Convention Center,2350,1998, 240 ,Deluxe Double or Twin Room,"3 beds (2 singles, 1 large double)",5.9,Plesant ,78,No Rooms left,FREE cancellation • No prepayment needed
321,321,321,Treebo Trend Primeland Suits Global Village,4568,2284, 274 ,Standard Double Room,1 extra-large double bed,6.8,Plesant ,39,No Rooms left,Free cancellation
322,322,322,OYO 78266 Collection O Sathyajyothi Comforts,2078,1039, 170 ,Classic Triple Room,1 large double bed,6.6,Plesant ,16,No Rooms left,FREE cancellation • No prepayment needed
323,323,323,Treebo Trend Hotel Sampradaya Bistro Mailasandra,6736,3368, 404 ,[Sanitized] Deluxe Double Room,1 large double bed,7.9,Good ,103,Only 1 room left ,Free cancellation
324,324,324,goSTOPS Bengaluru,3148,2109, 253 ,Deluxe Double Room,1 large double bed,8.6,Fabulous ,145,Only 1 room left ,FREE cancellation • No prepayment needed
325,325,325,The City Living,0,2500, 300 ,Deluxe King Room, 1 double or 2 singles,6.6,Plesant ,32,No Rooms left,Free cancellation
326,326,326,Hotel Housefinch Residency,1100,990,Includes ,Economy Double Room,"2 beds (1 single, 1 extra-large double)",7.0,Good ,90,Only 5 rooms left ,FREE cancellation • No prepayment needed
327,327,327,Octave Hotel & Spa - Marathahalli,0,2275, 273 ,Deluxe Double Room,2 single beds,6.5,Plesant ,273,Only 6 rooms left ,FREE cancellation • No prepayment needed
328,328,328,FabHotel Rotano Suites Yelahanka,3021,1631, 196 ,Deluxe Room,1 double bed,7.7,Good ,171,No Rooms left,Free cancellation
329,329,329,Sheraton Grand Bengaluru Whitefield Hotel & Convention Center,0,11250, 2025 ,Deluxe Room Twin Bed with City View,2 single beds,8.9,Fabulous ,165,Only 5 rooms left ,FREE cancellation • No prepayment needed
330,330,330,Bengaluru Marriott Hotel Whitefield,0,11200, 2016 ,"Deluxe King, Guest room, 1 King",1 extra-large double bed,8.2,Very good ,342,No Rooms left,FREE cancellation • No prepayment needed
331,331,331,Sanctum Suites BEL Road Bangalore,0,2900, 348 ,Standard King Room,1 extra-large double bed,7.2,Good ,71,Only 5 rooms left ,FREE cancellation • No prepayment needed
332,332,332,Sandesh Kingston by Agira Hotels,0,2200, 264 ,Deluxe Room,1 extra-large double bed,6.1,Plesant ,8,No Rooms left,Free cancellation
333,333,333,The Curzon Court,0,2200, 330 ,Standard Double or Twin Room,Multiple bed types,7.0,Good ,34,No Rooms left,
334,334,334,Lords Eco Inn Bengaluru Jayanagar,0,4000, 480 ,Standard Twin Room,2 single beds,7.2,Good ,13,Only 2 rooms left ,Free cancellation
335,335,335,MySpace Forest Keys,2970,2228, 267 ,Standard Double Room,1 large double bed,6.9,Plesant ,55,No Rooms left,Free cancellation
336,336,336,Omatra Infantry Road,3999,2199, 264 ,Economy Twin Room,2 single beds,7.5,Good ,98,Only 1 room left ,FREE cancellation • No prepayment needed
337,337,337,"Daffodil Suites, Manyata Tech Park",0,1799, 216 ,Standard Queen Room,"3 beds (2 singles, 1 large double)",5.8,Plesant ,5,No Rooms left,
338,338,338,Oakwood Premier Prestige Bangalore,16500,12375, 2228 ,Studio Superior Apartment with kitchenette,Private studio • 1 bathroom • 1 kitchen • 42m²1 extra-large double bed,8.4,Very good ,835,No Rooms left,Free cancellation
339,339,339,Hotel City Centre Residency,0,2750, 470 ,Deluxe Room,1 double bed,6.3,Plesant ,20,Only 1 room left ,Free cancellation
340,340,340,Metro Stays,0,1150, 138 ,Deluxe Triple Room,1 double bed,7.5,Good ,4,Only 5 rooms left ,
341,341,341,Grand Choice,0,1400, 168 ,Deluxe Double Room,1 large double bed,5.7,Plesant ,69,Only 1 room left ,FREE cancellation • No prepayment needed
342,342,342,OYO Flagship 29620 New Champion Residency,1461,950, 30 ,Classic Triple Room,2 large double beds,5.1,Plesant ,15,No Rooms left,Free cancellation
343,343,343,"OYO TOWNHOUSE 014, MG Road",6302,3151, 438 ,Classic Triple Room,1 large double bed,5.2,Plesant ,27,Only 1 room left ,FREE cancellation • No prepayment needed
344,344,344,Radisson Blu Bengaluru Outer Ring Road,0,8400, 1512 ,Superior Room, 1 double or 2 singles,7.9,Good ,719,No Rooms left,FREE cancellation • No prepayment needed
345,345,345,FabHotel Crown Suites,3648,1970, 236 ,Deluxe Room,1 large double bed,8.1,Very good ,170,Only 1 room left ,Free cancellation
346,346,346,FabHotel Phoenix Resorts,3750,2025, 243 ,Deluxe Room,1 large double bed,6.0,Plesant ,40,Only 5 rooms left ,Free cancellation
347,347,347,"The Ritz - Carlton, Bangalore",0,14300, 2574 ,Deluxe Room,1 extra-large double bed,9.3,Superb ,254,Only 5 rooms left ,FREE cancellation • No prepayment needed
348,348,348,FabHotel Astra Electronic City,2916,1575, 189 ,(Sanitised) Superior Double Room,1 double bed,7.3,Good ,234,Only 2 rooms left ,Free cancellation
349,349,349,Vega Residency,0,999,Includes ,Budget Double Room,1 double bed,6.7,Plesant ,7,Only 5 rooms left ,FREE cancellation • No prepayment needed
350,350,350,Hotel Airport City,1800,1620, 194 ,Double Room,1 large double bed,7.9,Good ,197,No Rooms left,FREE cancellation • No prepayment needed
351,351,351,Hotel Paramos Inn,0,2750, 330 ,Standard Double Room,1 double bed,7.9,Good ,41,Only 2 rooms left ,
352,352,352,OYO 76521 Manan Paradise,1384,900, 30 ,Classic Triple Room,"3 beds (1 single, 1 double, 1 large double)",4.3,Plesant ,4,No Rooms left,Free cancellation
353,353,353,OYO 88840 Mn Residency,1502,751, 45 ,Standard Double Room,2 large double beds,1.0,Plesant ,2,No Rooms left,FREE cancellation • No prepayment needed
354,354,354,Hoppers Stop Yelahanka,1749,1574, 189 ,Deluxe Double Room,"2 beds (1 single, 1 extra-large double)",8.1,Very good ,33,Only 1 room left ,FREE cancellation • No prepayment needed
355,355,355,OYO Flagship 9528 Hotel Midas Casita,963,568, 45 ,Standard Double Room,2 double beds,5.4,Plesant ,8,No Rooms left,Free cancellation
356,356,356,FabHotel Krishna Boutique Marathahalli - Fully Vaccinated Staff,5209,2813, 338 ,Executive Triple Room,1 large double bed,6.9,Plesant ,106,No Rooms left,Free cancellation
357,357,357,"Holiday Inn Express & Suites Bengaluru Old Madras Road, an IHG Hotel",0,4749, 570 ,Standard Room with Free Buffet Breakfast & 10% Disc on F&B,2 single beds,8.3,Very good ,471,No Rooms left,Free cancellation
358,358,358,Lazdana Hotel Bangalore,0,4499, 540 ,Superior Double or Twin Room,"3 beds (2 singles, 1 extra-large double)",7.5,Good ,8,No Rooms left,FREE cancellation • No prepayment needed
359,359,359,Omatra Infantry Road,3799,2089, 251 ,Economy Twin Room,2 single beds,7.5,Good ,98,Only 1 room left ,FREE cancellation • No prepayment needed
360,360,360,SAS Apartment,0,1800, 216 ,Standard Double Room,1 single bed,8.1,Very good ,93,Only 3 rooms left ,
361,361,361,OYO 82140 The Kickout,1180,590, 45 ,Deluxe Triple Room,1 large double bed,3.0,Plesant ,3,No Rooms left,FREE cancellation • No prepayment needed
362,362,362,Hotel Empire Central Street,0,2500, 300 ,Standard Double Room,1 large double bed,7.5,Good ,83,Only 1 room left ,FREE cancellation • No prepayment needed
363,363,363,OYO 9605 Hotel Golden Inn,1298,649, 45 ,Classic Triple Room,,4.7,Plesant ,43,No Rooms left,Free cancellation
364,364,364,OYO Flagship 8252 Aayush Corporate Stays,1361,803, 30 ,Classic Triple Room,2 large double beds,4.5,Plesant ,9,Only 3 rooms left ,Free cancellation
365,365,365,OYO 71574 Hotel Silver House,1230,800, 30 ,Classic Triple Room,1 large double bed,6.4,Plesant ,8,No Rooms left,FREE cancellation • No prepayment needed
366,366,366,Hotel RR International,0,1440, 173 ,Deluxe Double Room (Non-A/C), 1 double or 2 singles,6.8,Plesant ,381,No Rooms left,Free cancellation
367,367,367,OYO Townhouse 038 Banaswadi 100Ft Road,2305,1153, 168 ,Classic Triple Room,1 extra-large double bed,3.7,Plesant ,15,No Rooms left,FREE cancellation • No prepayment needed
368,368,368,OYO 66612 Jai Comforts,926,602, 30 ,Deluxe Double Room,1 large double bed,5.6,Plesant ,5,No Rooms left,Free cancellation
369,369,369,OYO 6790 Hotel subha Residency,1420,710, 30 ,Triple Room with Bathroom,1 double bed,5.6,Plesant ,27,No Rooms left,FREE cancellation • No prepayment needed
370,370,370,Octave Hotel & Spa - Marathahalli,0,2275, 273 ,Deluxe Double Room,2 single beds,6.5,Plesant ,273,Only 6 rooms left ,FREE cancellation • No prepayment needed
371,371,371,Hotel City Centre Residency,0,2750, 470 ,Deluxe Room,1 double bed,6.3,Plesant ,20,Only 1 room left ,Free cancellation
372,372,372,Grand Choice,0,1400, 168 ,Deluxe Double Room,1 large double bed,5.7,Plesant ,69,Only 1 room left ,FREE cancellation • No prepayment needed
373,373,373,"OYO TOWNHOUSE 014, MG Road",6302,3151, 438 ,Classic Triple Room,1 large double bed,5.2,Plesant ,27,Only 1 room left ,FREE cancellation • No prepayment needed
374,374,374,Hotel Swagath,0,1990, 239 ,Standard Double or Twin Room with Fan, 1 double or 2 singles,8.3,Very good ,7,No Rooms left,FREE cancellation • No prepayment needed
375,375,375,Mastiff Infantry Bengaluru,0,3500, 420 ,Superior Double or Twin Room,"2 beds (1 single, 1 extra-large double)",7.0,Good ,3,Only 4 rooms left ,
376,376,376,Rathna Mahal By WB Inn,1100,990,Includes ,Deluxe Double Room with Fan,1 large double bed,5.4,Plesant ,16,Only 5 rooms left ,
377,377,377,FabHotel Mayuri Residency,4450,2537, 334 ,Deluxe Room,1 double bed,6.9,Plesant ,66,Only 2 rooms left ,Free cancellation
378,378,378,FabHotel GR Lake View,3124,1687, 202 ,Deluxe Room,1 large double bed,8.1,Very good ,85,No Rooms left,Free cancellation
379,379,379,SM Rooms HSR Layout,0,1823, 219 ,Deluxe Double Room,1 double bed,6.3,Plesant ,10,Only 4 rooms left ,
380,380,380,Springs Hotels and Spa,0,3299, 396 ,Studio,1 large double bed,6.4,Plesant ,96,Only 1 room left ,
381,381,381,Treebo Trend Greenwood Premier Suites Old Airport Road,4391,2196, 263 ,Standard Double Room,1 double bed,6.8,Plesant ,175,Only 7 rooms left ,Free cancellation
382,382,382,Capital O 70156 Victorian Comforts,2141,1071, 158 ,Deluxe Triple Room,1 large double bed,3.4,Plesant ,5,Only 2 rooms left ,Free cancellation
383,383,383,Clyford Suites,0,2800, 336 ,Standard Apartment,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 46m²2 beds (1 extra-large double, 1 large double)",6.7,Plesant ,120,Only 1 left ,FREE cancellation • No prepayment needed
384,384,384,HOTEL ROYAL STAR,0,1529, 183 ,Deluxe King Room,1 extra-large double bed,5.8,Plesant ,5,No Rooms left,
385,385,385,OYO 74173 Shree Ganesh Regency,1026,667, 30 ,Classic Triple Room,1 large double bed,5.3,Plesant ,15,No Rooms left,Free cancellation
386,386,386,Atlaantic Inn,1700,1530, 184 ,Executive Room Non AC,Multiple bed types,6.1,Plesant ,58,Only 1 room left ,FREE cancellation • No prepayment needed
387,387,387,4 Seasons Suites,0,2615, 314 ,Superior King Room,1 extra-large double bed,7.0,Good ,124,Only 2 rooms left ,FREE cancellation • No prepayment needed
388,388,388,Treebo Trend Elmas Boutique Hotel Yallappa Chetty Layout,4749,2374, 285 ,Standard Double Room,1 large double bed,6.1,Plesant ,31,No Rooms left,Free cancellation
389,389,389,Fly Inn,0,2250, 270 ,Deluxe Double Room,1 extra-large double bed,6.9,Plesant ,12,No Rooms left,FREE cancellation • No prepayment needed
390,390,390,OYO 71574 Hotel Silver House,1230,800, 30 ,Classic Triple Room,1 large double bed,6.4,Plesant ,8,No Rooms left,FREE cancellation • No prepayment needed
391,391,391,MySpace Triton Suites,5850,3803, 456 ,Standard Double Room,1 large double bed,8.9,Fabulous ,14,Only 3 rooms left ,
392,392,392,Treebo Trend White Inn Koramangala,5294,2647, 318 ,[Sanitized] Deluxe Double Room,1 extra-large double bed,6.4,Plesant ,69,Only 5 rooms left ,Free cancellation
393,393,393,hotel fortune city,0,1600, 192 ,Standard Double Room,1 double bed,7.5,Good ,46,Only 2 rooms left ,FREE cancellation • No prepayment needed
394,394,394,SREE PARIJATHA GRAND,0,4200, 504 ,Standard Double Room,1 large double bed,0.0,No Review,0,Only 4 rooms left ,
395,395,395,Nice Stay The Business Hotel,3699,3070, 368 ,Deluxe King Room,1 large double bed,9.0,Superb ,19,No Rooms left,FREE cancellation • No prepayment needed
396,396,396,Collection O 3175 Pluspoint Suites,2373,1187, 187 ,Deluxe Triple Room,1 extra-large double bed,5.2,Plesant ,14,Only 5 rooms left ,Free cancellation
397,397,397,The Club,0,3200, 384 ,Standard Double or Twin Room, 1 double or 2 singles,4.8,Plesant ,11,Only 2 rooms left ,Free cancellation
398,398,398,Capital O 70991 Prime Square,2141,1071, 173 ,Standard Double Room,1 large double bed,5.4,Plesant ,16,No Rooms left,Free cancellation
399,399,399,Elephant Stays Marthahalli - Fully Vaccinated Staff,0,3050, 366 ,Standard Double Room, 1 double or 2 singles,7.1,Good ,65,No Rooms left,Free cancellation
400,400,400,Hotel U.T.ELITE,0,1530, 184 ,Double Room,1 extra-large double bed,5.8,Plesant ,21,No Rooms left,
401,401,401,Capital O 70156 Victorian Comforts,2141,1071, 158 ,Deluxe Triple Room,1 large double bed,3.4,Plesant ,5,Only 2 rooms left ,Free cancellation
402,402,402,HOTEL URS PALACE,0,1234, 148 ,Deluxe Room,1 extra-large double bed,6.3,Plesant ,11,No Rooms left,FREE cancellation • No prepayment needed
403,403,403,OYO Flagship 29293 Athithi Comforts,1058,529, 30 ,Standard Double Room,2 large double beds,4.5,Plesant ,15,No Rooms left,Free cancellation
404,404,404,"Regenta Place Bangalore, Cunningham Road",3589,3410, 409 ,Standard Room with 15% Discount on Food & Beverages, 1 double or 2 singles,6.1,Plesant ,159,No Rooms left,FREE cancellation • No prepayment needed
405,405,405,CAPITAL O 432 Hotel Victoria Heights,1950,1228, 177 ,Standard Double Room,2 double beds,5.7,Plesant ,16,No Rooms left,Free cancellation
406,406,406,Cirrus Suites,0,1701, 204 ,Deluxe Double or Twin Room with Balcony,1 extra-large double bed,5.7,Plesant ,4,Only 2 rooms left ,
407,407,407,SPOT ON 65593 Yatra Inn,844,506, 30 ,Triple Room with Bathroom,1 large double bed,5.9,Plesant ,26,No Rooms left,Free cancellation
408,408,408,Treebo Trip Akshaya Mayflower Vijaya Bank Layout,3809,1905, 229 ,[Sanitized] Standard Double Room,1 extra-large double bed,7.3,Good ,106,Only 2 rooms left ,Free cancellation
409,409,409,Elephant Stays Marthahalli - Fully Vaccinated Staff,0,3050, 366 ,Standard Double Room, 1 double or 2 singles,7.1,Good ,65,No Rooms left,Free cancellation
410,410,410,The Capitol,0,6000, 720 ,Club Double or Twin Room, 1 double or 2 singles,2.8,Plesant ,14,Only 5 rooms left ,FREE cancellation • No prepayment needed
411,411,411,Treebo Trend Cocoon Suites Kalyan Nagar,4568,2284, 274 ,Deluxe Double Room,1 large double bed,7.8,Good ,72,Only 1 room left ,Free cancellation
412,412,412,Treebo Trend Sai Arra Bangalore Airport Hotel,3775,1887, 226 ,Standard Double Room,1 double bed,8.0,Very good ,12,No Rooms left,Free cancellation
413,413,413,SREE PARIJATHA GRAND,0,4200, 504 ,Standard Double Room,1 large double bed,0.0,No Review,0,Only 4 rooms left ,
414,414,414,DELCO RESIDENCY,0,990,Includes ,Deluxe Double Room,1 single bed,6.1,Plesant ,16,Only 5 rooms left ,FREE cancellation • No prepayment needed
415,415,415,Sterling Living Space - Residency Road,0,3500, 420 ,Executive Double Room,1 extra-large double bed,7.1,Good ,17,Only 1 room left ,
416,416,416,K C Residency,0,1300, 156 ,Standard Double Room,1 large double bed,6.5,Plesant ,21,No Rooms left,
